case_id,case_name,pose_id,role,source_mode,rank,total_score,phosphate_electrostatic,base_stacking,metal_coordination,contact_count,clash_count,rmsd_to_reference,expected_contact_hit_fraction,top_aptamer_interactions
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:4,decoy,4,7,101.530222,-0.068489,-0.189862,0.000000,2211,130,2.933,1.000,baseStacking R:102:C16#4 -> R:53:C8#1116 3.47 A score -0.109 | baseStacking R:102:C16#4 -> R:54:C8#1138 2.91 A score -0.081 | phosphateElectrostatic R:102:O9#16 -> R:53:P#1103 2.20 A score -0.068
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:9,decoy,9,8,143.910261,-0.215501,0.000000,0.000000,767,97,8.000,0.250,phosphateElectrostatic R:102:O9#16 -> R:53:P#1103 1.76 A score -0.076 | phosphateElectrostatic R:102:N12#9 -> R:54:P#1125 2.94 A score -0.055 | phosphateElectrostatic R:102:O18#1 -> R:54:P#1125 3.78 A score -0.040 | baseStackingNearMiss C16#4 -> C8#1093 plane 4.74 A lateral 8.75 A angle 20.9 deg fail lateral | baseStackingNearMiss C16#4 -> C2#626 plane 3.06 A lateral 10.29 A angle 8.0 deg fail lateral
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:8,decoy,8,9,144.359448,-0.058478,-0.170438,0.000000,2142,141,2.000,0.750,baseStacking R:102:C16#4 -> R:53:C8#1116 4.54 A score -0.170 | phosphateElectrostatic R:102:O9#16 -> R:23:P#459 3.99 A score -0.036 | phosphateElectrostatic R:102:N12#9 -> R:55:P#1148 5.40 A score -0.011
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:5,decoy,5,10,269.925777,-0.098339,0.000000,0.000000,1960,189,5.411,0.250,phosphateElectrostatic R:102:O9#16 -> R:54:P#1125 1.24 A score -0.086 | phosphateElectrostatic R:102:O9#16 -> R:53:P#1103 5.30 A score -0.013 | baseStackingNearMiss C16#4 -> C8#1116 plane 3.64 A lateral 1.69 A angle 49.5 deg fail angle | baseStackingNearMiss C16#4 -> C8#472 plane 2.92 A lateral 4.36 A angle 50.2 deg fail lateral+angle
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:10,decoy,10,11,271.148274,-0.089887,-0.136491,0.000000,1655,188,8.000,0.500,baseStacking R:102:C16#4 -> R:52:C8#1093 3.50 A score -0.136 | phosphateElectrostatic R:102:O9#16 -> R:50:P#1040 3.59 A score -0.043 | phosphateElectrostatic R:102:O9#16 -> R:51:P#1060 4.80 A score -0.022
1fmn-fmn-riboswitch,FMN riboswitch bound to flavin mononucleotide,mode:1,reference,1,1,-9.708936,-0.494339,-0.498488,0.000000,2775,35,0.000,0.750,baseStacking Y:200:C2#2 -> Y:104:C8#1020 3.77 A score -0.288 | baseStacking Y:200:C2#2 -> Y:85:C8#608 3.24 A score -0.211 | phosphateElectrostatic Y:200:P#28 -> Y:67:N2#209 4.03 A score -0.026
1fmn-fmn-riboswitch-mg,FMN riboswitch with crystallographic Mg bridge,mode:1,reference,1,1,-9.296926,-0.592836,-0.498488,-0.158184,2785,38,0.000,1.000,baseStacking Y:200:C2#2 -> Y:104:C8#1020 3.77 A score -0.288 | baseStacking Y:200:C2#2 -> Y:85:C8#608 3.24 A score -0.211 | metalCoordination Y:200:O1P#29 -> X:304:MG#2345 2.54 A score -0.158
2g9c-purine-riboswitch,"Adenine/purine riboswitch bound to 3AY (pyrimidine-2,4,6-triamine)",mode:1,reference,1,1,-4.957114,0.000000,-0.430206,0.000000,1094,22,0.000,0.613,baseStacking A:91:C5#3 -> A:21:C8#141 3.20 A score -0.216 | baseStacking A:91:C5#3 -> A:52:C8#801 3.37 A score -0.214
4rzd-preq1-riboswitch,PreQ1 riboswitch bound to PRF (7-aminomethyl-7-deazaguanine analog),mode:1,reference,1,1,-4.618093,-0.112677,-0.611288,0.000000,1318,37,0.000,0.458,baseStacking A:201:C4#4 -> A:52:C8#398 3.53 A score -0.237 | baseStacking A:201:C4#4 -> A:42:C2#162 3.53 A score -0.233 | baseStacking A:201:C4#4 -> A:85:C8#1213 3.04 A score -0.141
2gdi-tpp-riboswitch,"TPP riboswitch bound to CCC (thiamine pyrophosphate analog, chain X)",mode:1,reference,1,1,4.272001,-0.458115,-0.371982,0.000000,577,19,0.000,0.688,baseStacking X:89:C4#15 -> X:11:C8#14 3.38 A score -0.206 | baseStacking X:89:C4#15 -> X:88:C2#1662 3.45 A score -0.166 | phosphateElectrostatic X:89:P#21 -> X:88:O3'#1657 1.60 A score -0.040
2ygh-sam-riboswitch,SAM-I riboswitch bound to S-adenosylmethionine,mode:1,reference,1,1,-11.618967,0.000000,-0.209854,0.000000,2567,24,0.000,0.175,baseStacking A:96:C5#11 -> A:47:C2#1011 3.48 A score -0.210
3b4b-glms-riboswitch,glmS riboswitch/ribozyme bound to glucosamine-6-phosphate (GlcN6P),mode:1,reference,1,1,-2.512284,-0.333181,-0.256556,0.000000,401,6,0.000,0.375,baseStacking A:201:C2#2 -> A:1:C8#14 3.80 A score -0.257 | phosphateElectrostatic A:201:O1#6 -> A:1:P#1 3.78 A score -0.040 | phosphateElectrostatic A:201:N2#7 -> A:1:P#1 3.82 A score -0.039
2hoj-tpp-riboswitch,TPP riboswitch bound to thiamine pyrophosphate,mode:1,reference,1,1,-8.790727,-0.478437,-0.464378,0.000000,2017,26,0.000,0.500,baseStacking A:114:C4'#12 -> A:42:C8#275 3.35 A score -0.240 | baseStacking A:114:C4'#12 -> A:43:C8#298 3.33 A score -0.224 | phosphateElectrostatic A:114:PB#23 -> A:77:N4#998 3.95 A score -0.018
3sd3-thf-riboswitch,THF riboswitch bound to folinic acid (FFO),mode:1,reference,1,1,-8.240513,-0.021763,-0.216706,0.000000,1597,21,0.000,0.350,baseStacking A:101:C2#2 -> A:8:C8#170 3.36 A score -0.217 | phosphateElectrostatic A:101:N10#16 -> A:80:P#1707 5.45 A score -0.010 | phosphateElectrostatic A:101:C9#15 -> A:80:P#1707 4.96 A score -0.007
5dhb-gmp-primer-template,RNA primer-template bound to GMP,mode:1,reference,1,1,-3.391227,-0.189222,-0.171961,0.000000,439,9,0.000,0.648,baseStacking A:101:C5#11 -> A:7:C8#76 3.26 A score -0.172 | phosphateElectrostatic A:101:O2P#23 -> A:7:P#63 5.49 A score -0.009
6c64-mango-ii-ekm,Mango-II fluorescent RNA aptamer bound to EKM,mode:1,reference,1,1,-12.442236,-0.031690,-0.254592,0.000000,1918,22,0.000,0.843,baseStacking A:101:C12#17 -> A:29:C8#635 3.98 A score -0.201 | baseStacking A:101:C12#17 -> A:12:C8#252 4.65 A score -0.054 | phosphateElectrostatic A:101:N02#12 -> A:17:P#352 5.27 A score -0.013
5bjp-corn-dfho,Corn RNA aptamer bound to DFHO,mode:1,reference,1,1,-9.945906,0.000000,-0.273518,0.000000,1342,19,0.000,0.292,baseStacking Y:104:C1#11 -> Y:25:C8#542 3.46 A score -0.274
6wzs-ztp-riboswitch,ZTP riboswitch bound to UG4 (pyridine-imidazole analog),mode:1,reference,1,1,-6.234072,-0.207730,-0.266267,0.000000,1388,47,0.000,0.333,baseStacking A:107:C03#2 -> A:63:C8#74 3.47 A score -0.266 | phosphateElectrostatic A:107:N05#14 -> A:35:P#622 3.60 A score -0.043 | phosphateElectrostatic A:107:O06#15 -> A:70:P#210 3.67 A score -0.042
